id,question
1773,Rollback segment dynamically extent to handle larger transactions entry loads. A single transaction may wipeout all available free space in the Rollback Segment Tablespace. This prevents other user using Rollback segments.
2168,In SQL Server 2005  which of the following schema changes are supported for the publication objects of a replicated database?
209,A> Object X refers to the contents of Y.
396,An user account is not a physical structure in Database but it is having important relationship to the objects in the database and will be having certain privileges.
1151,X$KCBCBH     Cache Buffer Current Buffer Header Fixed Table. It can predict the potential loss of decreasing the number of database buffers. The db_block_lru_statistics parameter has to be set to true to gather information in this table.
379,There are tablespaces and database's schema objects
2114,You have a SQL Server 2005 cluster and need to add anti-virus software as per your corporate standards. What should you exclude from scans?
2313,'By generating SQL to ANALYZE TABLE table_name COUNT STATISTICS by querying Oracle System Catalogues (e.g. USER_TABLES or ALL_TABLES).
1447,==> 5.one qustion was on private key and public key.The quest. was
917,30. Which scheduling technique is used in Windows XP? ( I Explained the scheduling technique used in UNIX and VAX/ VMX systems.)
1241,The pass mark for versant test is 53 marks but I secured 52 marks. So  they have given another chance for me for Versant test. People who secures above 50 they will give one more chance.
1683,One of the important thing which they observe is your confidence  communication skills  your way of answering the questions. Guys never loose HOPE as it is one of key role that can make you look more confident.
877,16. Are CPU Scheduling and Process Scheduling different?
814,Me : Swings  Applets sir. I am also interested in working with JDBC and explained about my project that I have done with swings and JDBC.
1549,In this there were to rounds in which a common GD on a topic and 2nd was speaking on anything interesting and worth sharing for 40-45 secs. The key here is to only talk in english and talk to the point and the topic chosen by you should be rich not common like cricket. 8 Cleared the GD round.
964,6.Which of the following is an acceptable schedule starting from Monday to Friday
139,b. the objective of the firm determine the management information needs and these needs
551,He: Can you explain how would you use Java OOPS properties with help of program (he wants me to write a program in which I have to use all the basic oops properties like abstraction  inheritance  polymorphism etc).
1027,85. cache access time 100 msec. main memory access time 800 msec if the hit ratio is 95%   what is mean access time ...
1353,Dense index (index record appers for every search -key in file)
1199,Question 2) The approximate number of students securing less than 41 marks in both the subjects is
906,The topics are just like: Our schedule for 2 days  Schedule for tomorrow  favorite movie etc.
2145,There are two types of subscriptions in SQL Server replication. What are they?
1882,This is Tripurari Chaudhary frm Yamuna Nagar  Haryana. I m very happy 2 be placed at Patni Computer Systems. I had been 2 Baddi (HP) 4 a joint campus on 18th oct 2007.  On first day there was only written exam. total candidates appeared =8000  70 colleges  the procedure 4 PCS is
1314,This level of error severity indicates a transaction deadlock error.
1863,3.nuclear family or joint family........
394,Privilege auditing is the auditing of the use of powerful system privileges without regard to specifically named objects
423,At this stage  your probability of being rejected becomes very unlikely. Again  they can ask anything from your strengths and weaknesses  to your hobbies  to your career objective  to your family background. They can also give puzzles to solve. It depends on your approach to tackle the problems.
1947,Next they asked about SQL and Unix. In SQL how to delete duplicates in a table like:
2071,The above SQL statement is correct or not?
1582,One additional key difference between interfaces and abstract classes (possibly the most important one) is that multiple interfaces can be implemented by a class  but only one abstract class can be inherited by any single class.
2340,#NAME?
42,Referring to the sample code above  if an object of class ?yprofessor were created  how many
1446,d) A uses private key part of B
1929,c) Transaction Control Statements :: Manage change by DML
1541,Then asked abt primary key  foreign key  unique
420,1. Square contains all angles   one object does not
1440,c.    for every exchange  key should be changed
649,3) asked wht is encapsulation ..explain it till he didnt look satisfactory try to tell him using examples..
1923,6. dcl  dml  ddl language and example.
2130,You want to disable the trigger dEmployee on the HumanResources.Employee table in the SQL Server 2005 AdventureWorks sample database. Which of the following statements will do the trick?
2326,Issue the following SQL command:
804,First-round which was Aptitude round has happened at our college. There were mainly two parts of the paper. The first part consists of questions and the second one was the coding round. In first parts  Questions are mainly from the Software engineering  Java  Database  quantitative aptitude  and English. The question was easy but need the basic understanding of these subjects. In the second round  there was two coding question. We can only choose java as a coding language. The question was easy  If you have knowledge about Collection  Thread in java then you can very easily do these questions.
1523,The key would be to be cool and confident in the interview.
1348,6. difference between unique key and primary key
677,- C++ questions like POLYMORPHISM  RUNTIME POLYMORPHISM  INHERITANCE etc.
1513,Ans: . Primary key and Attribute
1981,My technical interview is of about 60 minutes. it seems to be long but when u r inside u never feel it and u just hv to ans patiently as ques are very easy n bit tricky. A good knowledge of SQL and C is a must. U must know at least the basics command of unix otherwise u will be rejected.they will just ask u to write 10 commands of unix and they will ask ques on those 10 commands only.
1131,23. Which layer in the osi model is concerned with printer buffering  etc: network/session/transport/..
1155,Use the buffer cache advisory over a given workload and then query the v$db_cache_advice table. If a change was necessary then I would use the alter system set db_cache_size command.
2382,2. RDBMS:  questions based on codd's rules  normalization  sql queries
1915,Can one use dynamic SQL within PL/SQL? OR Can you use a DDL in a procedure ? How ?
1085,Number of times processes repeatedly query the dictionary table is called recursive hints. It is due to the data dictionary cache is too small. By increasing the SHARED_POOL_SIZE parameter we can optimize the size of Data Dictionary Cache.
2210,You have created a database snapshot on SQL Server 2005 for the sales database to capture the end-of-month activity. The next day your server fails and you need to recover to a standby server using the previous night's backups. How do you recover the snapshot?
201,ans Common Object Request Broker Architeture
1426,72. In gear boxes Which type of key is used
1609,Note - Confidence is the key to crack this interview and Technical questions from indiabix.com are helpful.
535,13. how does inheritance relate 2 abstraction?
1307,17. Which of the following is not condition having a deadlock resource previous granted  can be forcebly taken away from a process
778,39. A thread is Ans. Detachable unit of executable code)
240,Interviewer: Tell me the difference between procedural & object oriented language.
835,Q. WAP JDBC code for fetching student database using MySQL.
390,#NAME?
1858,33. Two more questions  one each from riveted joints and cotterjoint
1866,5)In a Left outer joint operation what will be returned
172,Also had technical questions. Questions based on algorithms. So be prepared with commonly Asked n used sorting and searching algorithms. Then questions to write output of code snippet Given. All are objective questions.
916,29. What is scheduling? What are the scheduling techniques? Explain.
352,An object group is a container for a group of objects. You define an object group when you want to package related objects so you can copy or reference them in another module.
1763,a) CPU sheduling         b) Memory management            c) Transaction
1534,Try to jot down some key points about Infosys. They provide the best training program.
2003,On 21st I was called for interview  I just had 2 days 2 prepare for the interview  n in Aricent they can ask each n every thing that you must have studied.. I toiled v hard day n night revised almost everything Data Structures  OS  DCN  C  C++  s/w engineering  SDLC  Normalization  keys  SQL  Unix etc.
2048,3rd round was on next day. It was the technical round. They will ask you about the project. Questions based on training (if mentioned in the resume). Basic sql questions were asked. And some C based questions.
2118,Unlimited  no different from the other SQL Server 2000 editions.
2066,a. the sql stament is a correct one  (ans)
1125,Let us think you have marked the answer for a question while the timer is at 00:10 seconds(10 seconds remaining) then please don't get panicked/tensed. Once you marked the answer before 2.15 minutes the answer will be automatically saved. If you click on NEXT option on the screen before 2.15 minutes then it will display you the next question and if you don't wish to do so then you have a buffer time of 30 seconds after which the next question will be displayed so you can feel relaxed for a moment(DO NOT FOLLOW THIS FOR EVERY QUESTION).  This helped me personally.
645,6.How is Encapsulation implemented and an example?
1712,The key to crack this round is also you already know.. ;) but still  will mention it. Confidence. Eye contact while communicating in group
1261,****N.B*** Never try to attempt the Sec-3 first(the Staff present there wud persuade u to do it first in order to secure gud marks)  try the other two sections first then return bck to Sec-3 if time permits.
1029,25. cache access time 100 msec. main memory access time 800 msec if the hit ratio is 95%   what is mean access time ...
1701,Me:: (I said a small ex  like this... i showed the door beside me and said like this..) Theif will unlock the door without exact key. and if that thief is given a chance to prepare the lock and key  he will do it perfectly in such a way that  no other theif can unlock it. Just like that if a tester comes to development and writes a code  the code will be in such a way that no other tester can find any bugs in it. So that way i can be a good developer  even though i ma with 1.5 yrs expereienced in testing and away from development.
1611,POST-FIELD ON-VALIDATE-FIELD POST-CHANGE and KEY-NEXTFLD. KEY-NEXTFLD POST-CHANGE  ON-VALIDATE-FIELD  POST-FIELD. g.
2001,many friends was asked sql  jave cpp.
1099,X$KGLTR     Library Cache Translation Table entry Fixed Table
1600,Q. Which Statement would you use to remove the EMPLOYEE_ID_PK PRIMARY KEY  constraint and all depending constraints fromthe EMPLOYEE table?
69,93 If a derived class object is explicitly destroyed by applying the delete operator to a base-class pointer to the object  the _____ function is automatically called on the object
89,Get Object ? To get the reference to an existing object.
2012,Q 37. There are two tables in a database namely EMPLOYEE and DEPARTMENT. EMPLOYEE table has 6 columns  60000 rows and DEPARTMENT table has 4 columns   40000 rows. What is the output of the following SQL query.
1639,Key Mode : Specifies how oracle forms uniquely identifies rows in the database.This is property includes for application that will run against NON-ORACLE datasources .
1671,Q. Primary key  Foreign key (SQL queries).
1617,A flexfield is an Oracle Applications field made up of segments. Each segment has an assigned name and a set of valid values. Oracle Applications uses flexfields to capture information about your organization. There are two types of flexfields: key flexfields and descriptive flexfields.
2322,KK     Compilation Layer - Parse SQL  compile PL/SQL
595,yes   partially. 1) PROPERTY CLASS - inheritance property 2) OVERLOADING : procedures and functions.
1517,So the key is to do all the concepts well for aptitude test and answer confidently during interviews.
1686,Since there is no negative marking try to answer all the questions.Time management plays key role. The written test was conducted on 31 May 2014 at our own college. The results were declared on 14 June 2014.
1409,TR: He had given a structure of a table  indicated the candidate keys & their types. Now tell me as a DBA which key will you take as an index and why? Table (ABCDE). Ck-A  B  CD.
363,Visual attributes are the font  color  and pattern properties that you set for form and menu objects that appear in your application's interface.
1100,X$KGLXS     Library Cache Access Table
1076,The output cache also supports variations of cached GET or POST name/value pairs.
2421,A few SQL queries were also asked (find second highest salary from a table) and SQL concepts like view  trigger  etc.
819,3.when an java applet get's downloaded what happens
1291,Operating systems:  resource allocation  write bankers algorithm  safety algorithm  deadlocks  how to resolve them  conditions for dead lock etc.
2348,SQL * DBA - This allows DBA to monitor and control an ORACLE database. SQL * Loader - It loads data from standard operating system files (Flat files) into ORACLE database tables. Export (EXP) and Import (imp) utilities allow you to move existing data in ORACLE format to and from ORACLE database.
626,Interviewer: What is encapsulation and abstraction explain with example.
1591,How to crack Part A: This is perhaps the most easiest part of the Test. An automated sound will instruct us to read a particular number  the key is we should immediately respond and should speak loudly and clearly. But don't read fast. By doing this we can bag max marks.
1900,The answer is Create a DDL trigger on CREATE_PROCEDURE database event You can find the answer on page 448 of Beginning SQL Server 2005 for Developers: From Novice to Professional
267,To create a Service Master Key in SMO  you would get a handle to the ServiceMasterKey object under the Server object and then call the Regenerate method.
343,A flag to indicate whether grants on databse objects will be exported or not. Value is 'Y' or 'N'.
430,o Additive Delta (ODS Object & InfoCube)
1800,COMMIT makes permanent the changes resulting from all SQL statements in the transaction. The changes made by the SQL statements of a transaction become visible to other user sessions transactions that start only after transaction is committed.
1393,"Next round was Group discussion  282 students were divided into 19 batches  each batch consists of 15 members and my batch was of 8 girls and 7 boys. Ours GD panel number is 6. We were given the topic ""INTERNET USAGE AMONG CHILDREN"" it is quite easy topic so I thought that I can definitely clear this round. After 2 minutes of brainstorming about the topic monitor asked us to start the discussion  one of my friend took initiative and started the discussion I was really waiting for chance as soon as she completed almost 3 to 4 members of my friends started arguing  being as a girl I don't have a loud voice  I was really disappointed that why am I not delivering even though I have valid points 3 minutes passed away discussion turned out very clumsy and I didn't even speak for once I was actually broken that  everyone was shouting as it is very easy topic panel member was really annoyed with our discussion after few seconds I realized one thing and shouted as much as I can ""GUYS  THIS IS A GROUP DISCUSSION NOT A DEBATE"" everyone was so calm monitor was bit happy and again they started shouting as we are running out of time I concluded the discussion. After 6 minutes of discussion everyone are supposed to give self introduction and speak 1 min of their own topic individually. On the spot he announced the result 9 members got selected for technical HR and I was one among them. Key point to remember to clear GD is Be confident  speak authoritatively and politely  must and make an eye contact with your friends. These are enough to clear GD."
1518,Primary key  foreign and unique key differences.
947,I've attended L&T Infotech Interview through an off campus at Rajalakshmi Engineering College & SA Engineering College  Chennai. L&T Infotech conducted off campus on three days(Aug 6-Aug 8) in two different college as mentioned above. I was Scheduled on Aug 8 at Rajalakshmi College.
1373,14. There is an employer table with key fields as  employer number data  in every n'th row are needed for a simple following queries will get required results.
2009,Then on DAY 2 we had technical rounds.This was also an elimination round. They concentrated on SQL C in general but for NON-IT(ie Mechanical  IPE  Civil---) the technical was also a HR round.
191,9.why is object oriented programming useful?
2275,In the first round they have asked from C  Java  C++  Data Structure and DBMS. The questions are conceptual and if you have the concept clear then it will be easy for you. The questions are like representation of tree or linked list using C  SQL query like joining  complexity analysis of a C program  any C++ program  method overloading from java  use of super keyword in java  why we use B-tree  string length calculation using pointer  etc.
971,. Intelligent Agent (OIA): The OIA runs on the target database and takes care of the execution of jobs and events scheduled through the Console.
511,7.What is the essential feature of inheritance
660,I explained polymorphism  inheritance.
97,4) The one that converts a high level language code to object form is
2121,In SQL Server 2005  can you include a user-defined role as a member of another user-defined role?
688,41.What is meant by polymorphism
1431,The key used in the gears for   transmitting power(flat/saddle/spline/square)
1273,? See the figure numbers correctly They ask question by just giving the figure no. And also the calculations may also be asked. The results were declared and I cleared the round Technical interview The techinal interviewer asked me to write few programs on c And he almost asked all the topics like Operation systems Information security- authentication authourisation DBMS Data structures Java Prepare well for all the topics HR Its very simple.
2107,You are delegating permissions on your SQL Server 2005 server to other administrators. You have local  single server jobs on one server that you would like to allow another administer to start  stop  and view the history for  but not delete history. This administrator will own the jobs. Which role should you assign?
1059,Why direct mapping is not good for the mapping of Cache Memory.
500,#NAME?
1552,The key here is Confidence  Soft Skills and most importantly is READ ALL THE THINGS ABOUT L&T TS.
811,many threads do u want for this?
889,Interviews are scheduled for the next day(O no Sunday). My number for the Interview was 60(first in first out).
397,We must be able to create a after row trigger on table (i.e.  it should be not be already available) After giving table privileges. We cannot specify snapshot log name because oracle uses the name of the master table in the name of the database objects that support its snapshot log. The master table name should be less than or equal to 23 characters. (The table name created will be MLOGS_tablename  and trigger name will be TLOGS name).
1197,"I've said as follows in Deloitte interview - ""When I was in 12th standard  my father again joined our family and did all those things in order to distract me from getting high score in 12th and he has openly said about that too. Inspite of that  I was able to secure 1171 out of 1200 and emerged out as school topper"""
2287,Function key triggers are associated with individual SQL*FORMS function keys You can attach Key function triggers to 10 keys or key sequences that normally do not perform any SQL * FORMS operations. These keys referred as key F0 through key F9.
446,C is an objective oriented language - yes or no?
358,A record group is an internal Oracle Forms data structure that has a column/row framework similar to a database table. However  unlike database tables  record groups are separate objects that belong to the form module in which they are defined. A record group can have an unlimited number of columns of type CHAR  LONG  NUMBER  or DATE provided that the total number of columns does not exceed 64K. Record group column names cannot exceed 30 characters.
2333,For long transactions that contain many SQL statements  intermediate markers or savepoints can be declared which can be used to divide a transaction into smaller parts. This allows the option of later rolling back all work performed from the current point in the transaction to a declared savepoint within the transaction.
2125,What does REVERT do in SQL Server 2005?
1658,22. can a database table exist without a primary key ?
1679,Each Fact Table can contain a maximum of 233 key figures.
2214,Can a particular event in SQL Server 2005  such as the CREATE USER command  have more than one DDL trigger assigned to it?
1627,b) Foreign Key Integrity Rule :: The FKIR denotes that the relationship between the foreign key and the primary key has to be enforced.When there is data in Child Tables the Master tables cannot be deleted.
1338,In DBMS  difference between DBMS and RDBMS  joins  keys  normalization and on some important topics.
1433,a.  A public key     b.  A private key     c.  B public key     d.  B private key
2411,So  one must be through with all the java concepts because it also helps a lot during interview because VIRTUSA interviews are done mainly on JAVA. Coming to DBMS  the questions are related to SQL queries. Some bits are from Data Structures like stacks and queues.  There is a less focus on software testing  but basics should be clear and we have to know about types of testing and by whom the testing's are done in real world. The time given for these 40 questions is 40 minutes.
309,a rating method  appraising mangers against verifiable objectives a ranking method  appraising managers as managers
2074,10. Which is more important in a sql query IN or EXISTS-
1757,This agent is tasked with reading the transaction log in transactional replication and moving those transactions that need to be replicated to the distributor.
946,Drive was scheduled for 2 days actually but they finished the things in 1 day only.
1539,Later the HR round was quite simple. I was asked to tell me about myself  my background  hobbies  interests  strengths  Why Keane? And so on. Once again  I was pretty confident in answering which I assume was the key factor which worked out well.
1553,In this  there were to rounds in which a common GD on a topic and 2nd was speaking on anything interesting and worth sharing for 40-45 secs. The key here is to only talk in English and talk to the point and the topic chosen by you should be rich  not common like cricket. 8 Cleared the GD round.
1810,Multiple database support : Oracle has a superior ability to manage multiple databases within the same transaction using a two-phase commit protocol.
999,The result was declared on 10th of august and the interview was scheduled on 31 october.
480,7. He asked about inheritance  polymorphism  abstration encapsulation  etc...
413,"PL/SQL V2.2  available with Oracle7.2  implements a binary wrapper for PL/SQL programs to protect the source code. This is done via a standalone utility that transforms the PL/SQL source code into portable binary object code (somewhat larger than the original). This way you can distribute software without having to worry about exposing your proprietary algorithms and methods. SQL*Plus and SQL*DBA will still understand and know how to execute such scripts. Just be careful  there is no ""decode"" command available."
268,Objects from unsigned CLR assemblies with EXTERNAL_ACCESS or UNSAFE permissions
58,anyhow  we were made to sit in room and the hr gave a brief introduction about the software testing...then he gave n object to be tested...
2342,ROLLBACK retracts any of the changes resulting from the SQL statements in the transaction.
1589,We can score maximum of our marks in last two modules where we need to say a story. Irrespective of topic given by machine just highlight the key words and use the sentences given in your versant test paper.
125,1. Java basics what is object  class  abstraction  polymorphism  inheritance?
395,Object auditing is the auditing of accesses to specific schema objects without regard to user.
1996,In SQL learn for - Commands that are somewhat internal like COMMIT      etc..but its easy only
648,- What is encapsulation in C++?
1771,Type export should be performed COMPLETE CUMULATIVE INCREMENTAL. List the sequence of events when a large transaction that exceeds beyond its optimal value when an entry wraps and causes the rollback segment to expand into anotion Completes. e. will be written.
1689,Answer 10: (Moment he said this mind was like ok dude I'm Leaving. I stared at them with blank eyes.) They said do you need a moment? I said yes sir  that will be great. Actually this is my first interviewed and i'm very nervous  I didn't sit for any interview during my graduation. They asked why so? I started to answer but couldn't phrase words correctly and I apologised. They said there was nothing to apologise for and that it was quite natural. Somehow managed to say that back then i wasn't ready for an interview as i didn't have enough knowledge and that things would have been more worse than this(pointing to the blank paper). Then I looked at the formula again and couldn't even figure out how I would store the actual values and the measured ones. I confessed this by saying  Sir My mind if totally blank and I can't even think of how I'm supposed to store all the values. He then helped me by reminding me of arrays. I then somehow coded it in c which was incorrect and he pointed that out.  Then asked me to code the same incorrect one in Python but with proper syntax  which I managed somehow. Then asked if dictionaries are more useful for this scenario as we could keep the values as key and their error as values. I said I would prefer arrays as we need to traverse the entire thing both for errors and the values.
127,68. A______ class is a class that represents a data structure that stores a number of data objects
2106,The SQL Writer service was introduced to handle access to the data files in SQL Server. It allows backup programs  like VSS  to function while SQL Server is still running.
2383,It is the method of dividing a table which would enable a quick reference.  SAP uses fact file partitioning to improve performance. We can partition only at  0CALMONTH or 0FISCPER. Table partitioning helps to run the report faster as data  is stored in the relevant partitions. Also table maintenance becomes easier.  Oracle  Informix  IBM DB2/390 supports table partitioning while SAP DB   Microsoft SQL Server  IBM DB2/400 do not support table portioning.
1376,14. There is an employer table with key fields as employer number data in every  n'th row are needed for a simple following queries will get required results.
